Date,Writing,Notes (Writing),Didn’t spend frivolously (3 month goal),Notes (Didn’t spend frivolously (3 month goal)),Didn’t order out,Notes (Didn’t order out),Meditating,Notes (Meditating),Exercising / 10K Steps,Notes (Exercising / 10K Steps),Time Outdoors (3x week),Notes (Time Outdoors (3x week)),Community,Notes (Community),Read,Notes (Read),Take Vitamins,Notes (Take Vitamins),Journaling,Notes (Journaling)
2021-06-08,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,-,-,Green,-,-,-
2021-06-09,-,-,-,-,-,-,Green,-,Green,"Mobility stretches
2x 5 push-ups
2x 10 kettlebell swings
2x 10 overhead lifts (per arm)",-,-,-,-,-,-,Green,-,-,-
2021-06-10,-,-,-,-,-,-,Green,-,Green,Relaxing morning walk. Knee sore from yesterday.,-,-,-,-,-,-,Green,-,-,-
2021-06-11,-,-,-,-,-,-,Green,-,Green,"Mobility stretches
5 push-ups
15 kettlebell swings
10 overhead lifts (per arm)",-,-,-,-,-,-,Green,-,-,-
2021-06-12,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,-,-,Green,-,-,-
2021-06-13,-,-,-,-,-,-,Green,-,Green,Outdoor work at chalet (cutting wood with axe and moving stuff),-,-,-,-,-,-,Green,-,-,-
2021-06-14,-,-,-,-,-,-,Green,-,Blue,Rest day,-,-,-,-,-,-,Green,-,-,-
2021-06-15,-,-,-,-,-,-,Green,-,Green,"Mobility stretches
5 push-ups
10 kettlebell swings
10 overhead lifts (per arm)
10 squats
15s hang with shoulder flexing",-,-,-,-,-,-,Green,-,-,-
2021-06-16,-,-,-,-,-,-,Green,-,Green,40m photo walk with myself,-,-,-,-,-,-,Green,-,-,-
2021-06-17,-,-,-,-,-,-,Green,-,Green,"Mobility stretches
10 push-ups
20 kettlebell swings
12 overhead lifts (per arm)
10 squats
30s hang with shoulder flexing",-,-,-,-,-,-,Green,-,-,-
2021-06-18,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,-,-,Green,-,-,-
2021-06-19,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,-,-,Green,-,-,-
2021-06-20,-,-,-,-,-,-,Green,-,Green,"Mobility stretches
5 push-ups
10 squats
30s l-sit one foot hold (per side)",-,-,-,-,-,-,Green,-,-,-
2021-06-21,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,-,-,Green,-,-,-
2021-06-22,-,-,-,-,-,-,Green,-,Green,"Mobility stretches
7 push-ups
20 kettlebell swings
12 overhead lifts (per arm)
10 squats
10 reverse lunges (5 per side)
30s hang with shoulder flexing",-,-,-,-,-,-,Green,-,-,-
2021-06-23,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,-,-,Green,-,-,-
2021-06-24,-,-,-,-,-,-,Green,-,Green,"Mobility stretches
8 push-ups
30 kettlebell swings
14 overhead lifts (per arm)
12 squats
30s hang with shoulder flexing",-,-,-,-,-,-,Green,-,-,-
2021-06-25,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,-,-,Green,-,-,-
2021-06-26,-,-,-,-,-,-,Green,-,Green,"Mobility stretches
9 push-up
10 curl and push per arm
30 swings 
12 squats
30s hang and shrug",-,-,-,-,-,-,Green,-,-,-
